CREATED_AT,ENTRY_ID,TEMPERATURA_EXTERNA,TEMPERATURA_AMOSTRA,RPM_MOTOR_1_TRANSLACAO,RPM_MOTOR_2_ROTACAO,MPU_AX,MPU_AY,MPU_AZ,TEMPERATURA_MPU,LATITUDE,LONGITUDE,ELEVATION,STATUS

2024-06-14T13:18:20-04:00,40,20.1,20.8, 4.0, 2.0,-5.0,-7.4, 4.1,21.9,,,,
2024-06-14T13:20:22-04:00,41,20.3,20.9, 4.0, 2.0, 0.2,-10.1,-0.2,22.1,,,,
2024-06-14T13:22:25-04:00,42,20.4,20.9, 4.0, 2.0,-5.8,-6.5, 4.3,22.1,,,,
2024-06-14T13:24:27-04:00,43,20.3,20.9, 4.0, 2.0, 6.0, 0.5, 8.3,22.1,,,,
2024-06-14T13:26:29-04:00,44,20.3,20.9, 4.0, 2.0, 5.3, 7.5,-3.4,22.1,,,,
2024-06-14T13:28:32-04:00,45,20.3,20.9, 4.0, 2.0, 1.3, 9.4, 1.4,22.1,,,,
2024-06-14T13:30:34-04:00,46,20.3,20.9, 4.0, 2.0, 7.7, 4.9,-4.2,22.2,,,,
2024-06-14T13:32:36-04:00,47,20.2,21.0, 4.0, 2.0,-4.5,-2.9,-8.1,22.2,,,,
2024-06-14T13:34:38-04:00,48,20.2,21.0, 4.0, 2.0,-3.8,-8.6, 2.9,22.2,,,,
2024-06-14T13:36:41-04:00,49,20.1,20.9, 4.0, 2.0,-0.9,-9.8,-2.0,22.2,,,,
2024-06-14T13:38:43-04:00,50,20.1,21.1, 4.0, 2.0,-6.9,-5.0, 4.5,22.3,,,,
2024-06-14T13:40:45-04:00,51,20.1,21.2, 4.0, 2.0, 5.4, 2.7, 8.1,22.4,,,,
2024-06-14T13:42:48-04:00,52,19.8,20.8, 4.0, 2.0, 3.8, 8.6,-2.2,22.1,,,,
2024-06-14T13:44:50-04:00,53,19.0,19.9, 4.0, 2.0, 2.3, 8.9, 3.2,21.2,,,,
2024-06-14T13:46:52-04:00,54,18.6,19.8, 4.0, 2.0, 8.7, 2.9,-4.3,20.9,,,,
2024-06-14T13:48:55-04:00,55,18.9,20.1, 4.0, 2.0,-3.8,-4.8,-7.7,21.1,,,,
2024-06-14T13:50:57-04:00,56,19.1,20.3, 4.0, 2.0,-2.2,-9.6, 1.7,21.3,,,,
2024-06-14T13:52:59-04:00,57,19.3,20.4, 4.0, 2.0,-1.8,-9.1,-3.7,21.6,,,,
2024-06-14T13:55:01-04:00,58,19.4,20.6, 4.0, 2.0,-7.8,-3.1, 4.6,21.7,,,,
2024-06-14T13:57:04-04:00,59,19.4,20.4, 4.0, 2.0, 4.6, 4.7, 7.5,21.6,,,,
2024-06-14T13:59:06-04:00,60,19.1,20.4, 4.0, 2.0, 2.2, 9.3,-1.1,21.5,,,,
2024-06-14T14:01:08-04:00,61,19.1,20.3, 4.0, 2.0, 3.0, 7.9, 5.0,21.5,,,,
