CREATED_AT,ENTRY_ID,TEMPERATURA_EXTERNA,TEMPERATURA_AMOSTRA,RPM_MOTOR_1_TRANSLACAO,RPM_MOTOR_2_ROTACAO,MPU_AX,MPU_AY,MPU_AZ,TEMPERATURA_MPU,LATITUDE,LONGITUDE,ELEVATION,STATUS
2024-06-13T10:56:26-04:00,1,20.1,21.1,10.0,10.0, 4.3,-1.6, 9.1,21.8,,,,
2024-06-13T11:03:20-04:00,2,20.5,21.2, 4.0, 2.0,-6.9,-3.1,-5.8,21.9,,,,
2024-06-13T11:05:22-04:00,3,20.6,21.2, 4.0, 2.0,-2.5,-8.8, 4.0,22.1,,,,
2024-06-13T11:07:24-04:00,4,20.6,21.1, 4.0, 2.0,-1.9,-9.7,-1.7,22.0,,,,
2024-06-13T11:09:27-04:00,5,20.6,21.1, 4.0, 2.0,-5.1,-4.7, 6.8,22.0,,,,
2024-06-13T11:11:29-04:00,6,20.6,21.0, 4.0, 2.0, 7.8, 3.1, 5.9,22.1,,,,
2024-06-13T11:13:31-04:00,7,20.5,21.1, 4.0, 2.0, 2.7, 8.7,-3.0,22.0,,,,
2024-06-13T11:15:34-04:00,8,20.5,21.0, 4.0, 2.0, 3.4, 8.8, 2.5,22.0,,,,
2024-06-13T11:17:36-04:00,9,20.3,20.9, 4.0, 2.0, 6.8, 2.6,-6.9,21.9,,,,
2024-06-13T11:19:38-04:00,10,20.3,20.9, 4.0, 2.0,-6.1,-4.9,-5.6,21.9,,,,
2024-06-13T11:21:49-04:00,11,20.3,20.8, 4.0, 2.0,-0.1,-9.8,-2.4,21.9,,,,
2024-06-13T11:23:51-04:00,12,20.3,20.9, 4.0, 2.0,-7.9,-5.1, 1.7,21.9,,,,
2024-06-13T11:25:54-04:00,13,20.3,21.0, 4.0, 2.0, 2.1, 3.3, 9.2,22.0,,,,
2024-06-13T11:27:56-04:00,14,20.3,21.2, 4.0, 2.0, 4.5, 8.6,-1.0,22.3,,,,
2024-06-13T11:29:58-04:00,15,20.4,21.4, 4.0, 2.0, 1.1, 9.0, 3.4,22.4,,,,
2024-06-13T11:33:30-04:00,16,20.4,21.5, 4.0, 2.0, 7.6, 6.5, 0.2,22.6,,,,
2024-06-13T11:35:32-04:00,17,20.3,21.4, 0.0, 0.0, 7.5, 6.5, 0.2,22.5,,,,
2024-06-13T11:57:54-04:00,18,20.1,20.6, 0.0, 0.0, 1.7, 8.9, 3.7,21.4,,,,
2024-06-13T15:02:43-04:00,19,19.9,20.8, 4.0, 2.0, 5.9,-1.1,-8.2,21.5,,,,
2024-06-13T15:15:25-04:00,20,19.7,20.8,10.0,10.0, 2.2,-8.2,-5.6,21.6,,,,
2024-06-14T12:38:55-04:00,21,19.4,20.3, 0.0, 0.0, 0.0,-4.7,-8.8,21.1,,,,
2024-06-14T12:40:57-04:00,22,19.3,20.3, 0.0, 0.0, 0.0,-4.7,-8.8,21.3,,,,
2024-06-14T12:42:59-04:00,23,19.4,20.3, 0.0, 0.0, 0.0,-4.7,-8.8,21.4,,,,
2024-06-14T12:45:02-04:00,24,19.4,20.3, 0.0, 0.0,-0.0,-4.7,-8.8,21.5,,,,
2024-06-14T12:47:04-04:00,25,19.4,20.3, 0.0, 0.0, 0.0,-4.7,-8.8,21.6,,,,
2024-06-14T12:49:06-04:00,26,19.3,20.3, 0.0, 0.0, 0.0,-4.7,-8.8,21.6,,,,
2024-06-14T12:51:09-04:00,27,19.3,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.6,,,,
2024-06-14T12:53:11-04:00,28,19.4,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T12:55:13-04:00,29,19.4,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T12:57:16-04:00,30,19.4,20.4, 0.0, 0.0,-0.0,-4.7,-8.8,21.7,,,,
2024-06-14T12:59:18-04:00,31,19.4,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:01:20-04:00,32,19.4,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:03:23-04:00,33,19.3,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:05:25-04:00,34,19.3,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:07:27-04:00,35,19.3,20.4, 0.0, 0.0,-0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:09:29-04:00,36,19.3,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:11:32-04:00,37,19.3,20.4, 0.0, 0.0, 0.0,-4.7,-8.8,21.6,,,,
2024-06-14T13:13:34-04:00,38,19.3,20.4, 0.0, 0.0,-0.0,-4.7,-8.8,21.7,,,,
2024-06-14T13:15:36-04:00,39,19.4,20.5, 0.0, 0.0, 0.7,-4.8,-8.7,21.7,,,,
2024-06-14T13:18:20-04:00,40,20.1,20.8, 4.0, 2.0,-5.0,-7.4, 4.1,21.9,,,,
2024-06-14T13:20:22-04:00,41,20.3,20.9, 4.0, 2.0, 0.2,-10.1,-0.2,22.1,,,,
2024-06-14T13:22:25-04:00,42,20.4,20.9, 4.0, 2.0,-5.8,-6.5, 4.3,22.1,,,,
2024-06-14T13:24:27-04:00,43,20.3,20.9, 4.0, 2.0, 6.0, 0.5, 8.3,22.1,,,,
2024-06-14T13:26:29-04:00,44,20.3,20.9, 4.0, 2.0, 5.3, 7.5,-3.4,22.1,,,,
2024-06-14T13:28:32-04:00,45,20.3,20.9, 4.0, 2.0, 1.3, 9.4, 1.4,22.1,,,,
2024-06-14T13:30:34-04:00,46,20.3,20.9, 4.0, 2.0, 7.7, 4.9,-4.2,22.2,,,,
2024-06-14T13:32:36-04:00,47,20.2,21.0, 4.0, 2.0,-4.5,-2.9,-8.1,22.2,,,,
2024-06-14T13:34:38-04:00,48,20.2,21.0, 4.0, 2.0,-3.8,-8.6, 2.9,22.2,,,,
2024-06-14T13:36:41-04:00,49,20.1,20.9, 4.0, 2.0,-0.9,-9.8,-2.0,22.2,,,,
2024-06-14T13:38:43-04:00,50,20.1,21.1, 4.0, 2.0,-6.9,-5.0, 4.5,22.3,,,,
2024-06-14T13:40:45-04:00,51,20.1,21.2, 4.0, 2.0, 5.4, 2.7, 8.1,22.4,,,,
2024-06-14T13:42:48-04:00,52,19.8,20.8, 4.0, 2.0, 3.8, 8.6,-2.2,22.1,,,,
2024-06-14T13:44:50-04:00,53,19.0,19.9, 4.0, 2.0, 2.3, 8.9, 3.2,21.2,,,,
2024-06-14T13:46:52-04:00,54,18.6,19.8, 4.0, 2.0, 8.7, 2.9,-4.3,20.9,,,,
2024-06-14T13:48:55-04:00,55,18.9,20.1, 4.0, 2.0,-3.8,-4.8,-7.7,21.1,,,,
2024-06-14T13:50:57-04:00,56,19.1,20.3, 4.0, 2.0,-2.2,-9.6, 1.7,21.3,,,,
2024-06-14T13:52:59-04:00,57,19.3,20.4, 4.0, 2.0,-1.8,-9.1,-3.7,21.6,,,,
2024-06-14T13:55:01-04:00,58,19.4,20.6, 4.0, 2.0,-7.8,-3.1, 4.6,21.7,,,,
2024-06-14T13:57:04-04:00,59,19.4,20.4, 4.0, 2.0, 4.6, 4.7, 7.5,21.6,,,,
2024-06-14T13:59:06-04:00,60,19.1,20.4, 4.0, 2.0, 2.2, 9.3,-1.1,21.5,,,,
2024-06-14T14:01:08-04:00,61,19.1,20.3, 4.0, 2.0, 3.0, 7.9, 5.0,21.5,,,,
2024-06-14T14:03:11-04:00,62,19.3,20.4, 4.0, 2.0, 9.4, 0.9,-4.2,21.6,,,,
2024-06-14T14:05:13-04:00,63,19.4,20.6, 4.0, 2.0,-3.0,-6.4,-6.9,21.7,,,,
2024-06-14T14:07:15-04:00,64,19.5,20.8, 4.0, 2.0,-0.3,-10.0, 0.6,21.8,,,,
2024-06-14T14:09:18-04:00,65,19.4,20.6, 4.0, 2.0,-2.4,-8.0,-5.3,21.8,,,,
2024-06-14T14:11:20-04:00,66,19.4,20.5, 4.0, 2.0,-8.4,-1.0, 4.3,21.7,,,,
2024-06-14T14:13:22-04:00,67,19.2,20.4, 4.0, 2.0, 3.8, 6.5, 6.5,21.6,,,,
2024-06-14T14:15:24-04:00,68,19.1,20.4, 4.0, 2.0, 0.3, 9.5,-0.0,21.5,,,,
2024-06-14T14:17:27-04:00,69,19.1,20.3, 4.0, 2.0, 3.6, 6.4, 6.7,21.4,,,,
2024-06-14T14:19:29-04:00,70,19.1,20.3, 4.0, 2.0, 9.5,-1.3,-3.7,21.5,,,,
2024-06-14T14:21:31-04:00,71,19.3,20.6, 4.0, 2.0,-2.1,-7.9,-5.7,21.7,,,,
2024-06-14T14:23:34-04:00,72,19.4,20.6, 4.0, 2.0, 1.6,-10.0,-0.4,21.8,,,,
2024-06-14T14:25:36-04:00,73,19.3,20.7, 4.0, 2.0,-2.7,-6.7,-6.8,21.8,,,,
2024-06-14T14:27:38-04:00,74,19.3,20.6, 4.0, 2.0,-8.5, 1.1, 3.9,21.8,,,,
2024-06-14T14:29:41-04:00,75,19.2,20.4, 4.0, 2.0, 2.8, 7.8, 5.2,21.8,,,,
2024-06-14T14:31:43-04:00,76,19.2,20.6, 4.0, 2.0,-1.5, 9.3, 0.8,21.8,,,,
2024-06-14T14:33:45-04:00,77,19.3,20.6, 4.0, 2.0, 3.8, 4.6, 8.0,21.9,,,,
2024-06-14T14:35:47-04:00,78,19.4,20.8, 4.0, 2.0, 9.3,-3.3,-3.2,22.0,,,,
2024-06-14T14:37:50-04:00,79,19.5,20.9, 4.0, 2.0,-1.2,-9.0,-4.1,22.0,,,,
2024-06-14T14:39:52-04:00,80,19.5,20.9, 4.0, 2.0, 3.5,-9.6,-1.1,22.1,,,,
2024-06-14T14:41:54-04:00,81,19.5,20.8, 4.0, 2.0,-2.9,-5.0,-8.0,22.1,,,,
2024-06-14T14:43:57-04:00,82,19.4,20.8, 4.0, 2.0,-8.1, 3.2, 3.3,22.0,,,,
2024-06-14T14:45:59-04:00,83,19.4,20.8, 4.0, 2.0, 1.9, 8.9, 3.2,22.0,,,,
2024-06-14T14:48:01-04:00,84,19.4,20.8, 4.0, 2.0,-3.3, 8.7, 1.4,21.9,,,,
2024-06-14T14:50:04-04:00,85,19.4,20.7, 4.0, 2.0, 3.9, 2.7, 8.9,21.9,,,,
2024-06-14T14:52:06-04:00,86,19.4,20.7, 4.0, 2.0, 8.7,-5.1,-2.7,21.9,,,,
2024-06-14T14:54:08-04:00,87,19.4,20.6, 4.0, 2.0,-0.3,-9.8,-2.2,21.9,,,,
2024-06-14T14:56:10-04:00,88,19.4,20.6, 4.0, 2.0, 5.3,-8.7,-1.7,21.9,,,,
2024-06-14T14:58:13-04:00,89,19.4,20.6, 4.0, 2.0,-2.8,-3.0,-8.8,21.8,,,,
2024-06-14T15:00:15-04:00,90,19.4,20.7, 4.0, 2.0,-7.2, 5.2, 2.7,21.9,,,,
2024-06-14T15:02:17-04:00,91,19.4,20.6, 4.0, 2.0, 1.1, 9.4, 1.3,21.9,,,,
2024-06-14T15:04:20-04:00,92,19.4,20.6, 4.0, 2.0,-5.1, 7.5, 1.9,21.8,,,,
2024-06-14T15:06:22-04:00,93,19.4,20.5, 4.0, 2.0, 3.6, 0.6, 9.5,21.8,,,,
2024-06-14T15:08:24-04:00,94,19.4,20.6, 4.0, 2.0, 7.7,-6.7,-2.0,21.8,,,,
2024-06-14T15:10:27-04:00,95,19.4,20.7, 4.0, 2.0, 0.5,-10.1,-0.1,21.9,,,,
2024-06-14T15:12:29-04:00,96,19.5,20.8, 4.0, 2.0, 7.0,-7.3,-2.1,22.0,,,,
2024-06-14T15:14:31-04:00,97,19.6,20.9, 4.0, 2.0,-2.5,-0.7,-9.3,22.1,,,,
2024-06-14T15:16:33-04:00,98,19.3,20.6, 4.0, 2.0,-5.9, 6.9, 1.9,21.8,,,,
2024-06-14T15:18:36-04:00,99,18.8,20.1, 4.0, 2.0, 0.4, 9.5,-0.6,21.4,,,,
2024-06-14T15:20:38-04:00,100,18.5,19.7, 4.0, 2.0,-6.8, 6.0, 2.2,20.9,,,,
2024-06-14T15:22:40-04:00,101,18.8,19.9, 4.0, 2.0, 3.2,-1.5, 9.6,21.0,,,,
2024-06-14T15:24:43-04:00,102,18.8,20.1, 4.0, 2.0, 6.3,-8.1,-1.3,21.1,,,,
2024-06-14T15:26:45-04:00,103,19.0,20.3, 4.0, 2.0, 1.0,-9.9, 2.0,21.3,,,,
2024-06-14T15:28:47-04:00,104,19.1,20.4, 4.0, 2.0, 8.3,-5.8,-2.2,21.5,,,,
2024-06-14T15:30:50-04:00,105,19.1,20.5, 4.0, 2.0,-2.1, 1.5,-9.3,21.6,,,,
2024-06-14T15:32:52-04:00,106,19.1,20.3, 4.0, 2.0,-4.2, 8.3, 1.2,21.5,,,,
2024-06-14T15:34:54-04:00,107,19.1,20.3, 4.0, 2.0,-0.1, 9.1,-2.6,21.4,,,,
